"X1","X2","act_class","pred_class","error","resp_prob","channelA_prob"
0.1,0.1,1,2,1.73816154245431,0.967599908164192,0.032400091835808
0.1,0.2,1,2,1.97699274570097,0.968268982115747,0.0317310178842532
0.2,0.1,1,2,1.99990571715934,0.984978376451203,0.0150216235487972
0.2,0.2,1,2,2.31091602435791,0.990779365114377,0.00922063488562254
0.1,0.3,1,2,2.24122733300951,0.952102093803378,0.047897906196622
0.3,0.1,1,2,2.31686066133634,0.989662825657319,0.0103371743426815
0.3,0.2,1,2,2.72825737972083,0.999952867301176,4.71326988235672e-05
0.2,0.3,1,2,2.66654750682544,0.976944541794537,0.0230554582054633
1,1,2,1,2.22667415801243,0.951060237466455,0.951060237466455
0.9,1,2,1,2.56147901583899,0.957652466721227,0.957652466721227
1,0.9,2,1,2.52556364801177,0.975546060500381,0.975546060500381
0.9,0.9,2,1,2.98025958008634,0.987333798238058,0.987333798238058
1,0.8,2,1,2.84543568135825,0.985327247742628,0.985327247742628
0.8,1,2,1,2.9117317874365,0.940147699336992,0.940147699336992
0.8,0.9,2,1,3.48537148659737,0.969013046098044,0.969013046098044
0.9,0.8,2,1,3.45594799272042,0.999997770884099,0.999997770884099
